Nome,total,percentual,popularidade
CLEBER,103401,0.058,297
OSMAR,103032,0.057,298
INGRID,102959,0.057,299
SELMA,102364,0.057,300
LEILA,102166,0.057,301
RAIANE,101990,0.057,302
NILSON,101796,0.057,303
ORLANDO,101455,0.057,304
HUGO,101231,0.056,305
OTAVIO,100541,0.056,306
ESTER,100378,0.056,307
VINICIOS,97990,0.055,308
ITALO,96817,0.054,309
REGIANE,96816,0.054,310
MARISA,96220,0.054,311
EUNICE,95958,0.054,312
WILIAN,95889,0.053,313
KELLY,95532,0.053,314
TAINARA,95333,0.053,315
ALISSON,95071,0.053,316
IARA,94727,0.053,317
APARECIDO,94436,0.053,318
ISRAEL,94325,0.053,319
JOELMA,93857,0.052,320
MARINALVA,93627,0.052,321
EDMILSON,93514,0.052,322
TERESINHA,92667,0.052,323
REBECA,92452,0.052,324
GERALDA,92288,0.051,325
JOSUE,91762,0.051,326
CLEONICE,91089,0.051,327
IRACI,90802,0.051,328
ALEXANDRA,90467,0.05,329
JENIFER,89461,0.05,330
MARA,88918,0.05,331
ELIZANGELA,88722,0.049,332
LILIANE,88290,0.049,333
LIDIA,88259,0.049,334
IRACEMA,88145,0.049,335
LIDIANE,87204,0.049,336
MARILIA,87004,0.049,337
GERSON,86856,0.048,338
SHEILA,86149,0.048,339
CAUA,85657,0.048,340
NAIARA,85605,0.048,341
INES,85586,0.048,342
SIDNEI,85455,0.048,343
POLIANA,84532,0.047,344
DALVA,83815,0.047,345
LURDES,83562,0.047,346
EMANUEL,83281,0.046,347
TERESA,83248,0.046,348
ZILDA,83135,0.046,349
VALDECI,83124,0.046,350
LUCILENE,83036,0.046,351
CLARA,82936,0.046,352
ROSANE,82409,0.046,353
JAIME,82401,0.046,354
VALDEMAR,82199,0.046,355
IVONETE,82114,0.046,356
EDIVALDO,81730,0.046,357
LUCIANE,81510,0.045,358
ISADORA,81327,0.045,359
ARNALDO,80848,0.045,360
LUCIMAR,80637,0.045,361
NILZA,80285,0.045,362
CRISTIAN,80154,0.045,363
MOACIR,79857,0.045,364
ISMAEL,79413,0.044,365
PALOMA,79388,0.044,366
DAMIAO,79321,0.044,367
MICHEL,78975,0.044,368
ISAIAS,78969,0.044,369
CARMEM,78911,0.044,370
NIVALDO,78831,0.044,371
SUELEN,78811,0.044,372
JAIRO,78707,0.044,373
ANGELO,78581,0.044,374
ROSIMEIRE,78355,0.044,375
JANE,77345,0.043,376
VALDECIR,77189,0.043,377
WELLINGTON,77126,0.043,378
ALEXANDRO,76950,0.043,379
CLEUSA,76694,0.043,380
VANDA,76593,0.043,381
ILDA,76562,0.043,382
DENIS,76362,0.043,383
VALDEMIR,76232,0.043,384
ELIENE,76114,0.042,385
WANDERSON,76012,0.042,386
RIAN,75625,0.042,387
CLAUDINEI,75456,0.042,388
JAILSON,75341,0.042,389
MAYARA,75057,0.042,390
CELIO,74984,0.042,391
DIANA,74947,0.042,392
SOFIA,74888,0.042,393
YURI,74645,0.042,394
DENILSON,74457,0.042,395
ARIANE,74350,0.041,396
IAGO,74286,0.041,397
MARIANE,74021,0.041,398
SUZANA,73944,0.041,399
EDER,73915,0.041,400
CLARICE,73641,0.041,401
DAIANA,73353,0.041,402
CHARLES,73144,0.041,403
MARLON,72943,0.041,404
ALISON,72936,0.041,405
ERIC,72566,0.04,406
JONATAN,72380,0.04,407
EDILENE,72006,0.04,408
ELTON,71897,0.04,409
WESLEI,71075,0.04,410
MIRIAM,71032,0.04,411
NATANAEL,70645,0.039,412
ERICK,70493,0.039,413
ELISABETE,70460,0.039,414
ELIETE,70433,0.039,415
KARINE,69751,0.039,416
KAUAN,69394,0.039,417
AGNALDO,69092,0.039,418
ODETE,68991,0.038,419
JUSSARA,68817,0.038,420
IZABEL,68785,0.038,421
LUISA,68539,0.038,422
KAREN,68531,0.038,423
ODAIR,68473,0.038,424
GEOVANE,68100,0.038,425
ALANA,67964,0.038,426
CASSIA,67901,0.038,427
MONIQUE,67780,0.038,428
CATIA,67600,0.038,429
WALTER,67360,0.038,430
DEISE,67193,0.037,431
ISABELE,66868,0.037,432
ARLINDO,66824,0.037,433
EVELIN,66744,0.037,434
KEILA,66604,0.037,435
MICHAEL,66277,0.037,436
ADRIELE,66197,0.037,437
ANDREZA,66163,0.037,438
JOSEANE,66046,0.037,439
ALVARO,65710,0.037,440
LOURDES,65031,0.036,441
YASMIM,65013,0.036,442
EZEQUIEL,64678,0.036,443
EVERALDO,64560,0.036,444
ALMIR,64554,0.036,445
ALZIRA,64386,0.036,446
NADIR,64267,0.036,447
CARINA,63555,0.035,448
DARCI,63320,0.035,449
ERIKA,63167,0.035,450
IVO,63090,0.035,451
ADEMAR,62815,0.035,452
RAMON,62807,0.035,453
GISLAINE,62805,0.035,454
JAMILE,62243,0.035,455
EMILY,62238,0.035,456
CLAUDETE,62115,0.035,457
CATARINA,61865,0.035,458
FILIPE,61732,0.034,459
WILLIAM,61528,0.034,460
GESSICA,61291,0.034,461
MANUELA,61231,0.034,462
JONATAS,61116,0.034,463
ELEN,60470,0.034,464
GENI,60387,0.034,465
TELMA,60314,0.034,466
IVANILDO,60013,0.033,467
ROMARIO,59881,0.033,468
ARLETE,59867,0.033,469
HELOISA,59261,0.033,470
VALDIRENE,59218,0.033,471
ELIZETE,59084,0.033,472
VALQUIRIA,58921,0.033,473
JACKSON,58806,0.033,474
ELOISA,58707,0.033,475
KAUA,58155,0.032,476
NATAN,57981,0.032,477
GILVAN,57865,0.032,478
JOSIMAR,57699,0.032,479
JONATHAN,57673,0.032,480
ALFREDO,57357,0.032,481
JULIANE,57266,0.032,482
ZELIA,57090,0.032,483
RAUL,57086,0.032,484
DIRCE,57048,0.032,485
JANDIRA,56911,0.032,486
EMILI,56897,0.032,487
BERNARDO,56893,0.032,488
GEAN,56780,0.032,489
FABIOLA,56645,0.032,490
CARMEN,56605,0.032,491
ESTEFANI,56566,0.032,492
JOSIAS,56550,0.032,493
REJANE,56389,0.031,494
RODOLFO,56316,0.031,495
AMELIA,56282,0.031,496
MAIRA,56220,0.031,497
LAZARO,56218,0.031,498
LUCIO,56048,0.031,499
VILMAR,55836,0.031,500
ANNA,55609,0.031,501
JEFFERSON,55090,0.031,502
JURACI,54987,0.031,503
ELISA,54867,0.031,504
RUTE,54753,0.031,505
ALCIDES,54708,0.031,506
LUZINETE,54624,0.03,507
ELIZABETH,54611,0.03,508
IOLANDA,54423,0.03,509
PRICILA,54307,0.03,510
VALDOMIRO,54023,0.03,511
ARMANDO,53677,0.03,512
CASSIO,53498,0.03,513
ROMULO,53441,0.03,514
EDNALDO,53334,0.03,515
WELITON,53332,0.03,516
